locale_id,engine,country,country_code,language,language_code,location,location_type,adwords_criteria_id,adwords_exact_match
2378,Google,Bulgaria,bg,Bulgarian,bg,"Asenovgrad (Асеновград)",City,9040110,true
2379,Google,Bulgaria,bg,Bulgarian,bg,"Aytos (Айтос)",City,9040120,true
2380,Google,Bulgaria,bg,Bulgarian,bg,"Balchik (Балчик)",City,9047677,true
2381,Google,Bulgaria,bg,Bulgarian,bg,"Bansko (Банско)",City,9040104,true
2382,Google,Bulgaria,bg,Bulgarian,bg,"Blagoevgrad (Благоевград)",City,1001445,true
2383,Google,Bulgaria,bg,Bulgarian,bg,"Botevgrad (Ботевград)",City,9040129,true
2384,Google,Bulgaria,bg,Bulgarian,bg,"Burgas (Бургас)",City,1001449,true
2385,Google,Bulgaria,bg,Bulgarian,bg,"Byala Slatina (Бяла Слатина)",City,9047678,true
2386,Google,Bulgaria,bg,Bulgarian,bg,"Chirpan (Чирпан)",City,9047679,true
2387,Google,Bulgaria,bg,Bulgarian,bg,"Dimitrovgrad (Димитровград)",City,1001472,true
2388,Google,Bulgaria,bg,Bulgarian,bg,"Dobrich (Добрич)",City,1001453,true
2389,Google,Bulgaria,bg,Bulgarian,bg,"Dulovo (Дулово)",City,9040143,true
2390,Google,Bulgaria,bg,Bulgarian,bg,"Dupnica (Дупница)",City,1001446,true
2391,Google,Bulgaria,bg,Bulgarian,bg,"Etropole (Етрополе)",City,9047680,true
2392,Google,Bulgaria,bg,Bulgarian,bg,"Gabrovo (Габрово)",City,1001455,true
2393,Google,Bulgaria,bg,Bulgarian,bg,"Gorna Oryahovitsa (Горна Оряховица)",City,9040126,true
2394,Google,Bulgaria,bg,Bulgarian,bg,"Gotse Delchev (Гоце Делчев)",City,9047681,true
2395,Google,Bulgaria,bg,Bulgarian,bg,"Harmanli (Харманли)",City,9040113,true
2396,Google,Bulgaria,bg,Bulgarian,bg,Haskovo (Хасково),City,9040114,true
2397,Google,Bulgaria,bg,Bulgarian,bg,"Haskovo (Хасково)",City,1001473,true
2398,Google,Bulgaria,bg,Bulgarian,bg,"Isperih (Исперих)",City,9040141,true
2399,Google,Bulgaria,bg,Bulgarian,bg,"Kardzali (Кърджали)",City,1001474,true
2400,Google,Bulgaria,bg,Bulgarian,bg,Kardzhali (Кърджали),City,9040111,true
2401,Google,Bulgaria,bg,Bulgarian,bg,"Karnobat (Карнобат)",City,9047682,true
2402,Google,Bulgaria,bg,Bulgarian,bg,"Kavarna (Каварна)",City,9047683,true
2403,Google,Bulgaria,bg,Bulgarian,bg,"Kazanluk (Казанлък)",City,1001475,true
2404,Google,Bulgaria,bg,Bulgarian,bg,"Knezha (Кнежа)",City,9040132,true
2405,Google,Bulgaria,bg,Bulgarian,bg,"Kozloduy (Козлодуй)",City,9040135,true
2406,Google,Bulgaria,bg,Bulgarian,bg,Kyustendil (Кюстендил),City,9040100,true
2407,Google,Bulgaria,bg,Bulgarian,bg,"Kyustendil (Кюстендил)",City,1001447,true
2408,Google,Bulgaria,bg,Bulgarian,bg,"Lom (Лом)",City,9040144,true
2409,Google,Bulgaria,bg,Bulgarian,bg,"Lovech (Ловеч)",City,1001456,true
2410,Google,Bulgaria,bg,Bulgarian,bg,"Mezdra (Мездра)",City,9047684,true
2411,Google,Bulgaria,bg,Bulgarian,bg,"Momchilgrad (Момчилград)",City,9040112,true
2412,Google,Bulgaria,bg,Bulgarian,bg,"Montana (Монтана)",City,1001460,true
2413,Google,Bulgaria,bg,Bulgarian,bg,"Nessebar (Несебър)",City,9047685,true
2414,Google,Bulgaria,bg,Bulgarian,bg,"Nova Zagora (Нова Загора)",City,9040124,true
2415,Google,Bulgaria,bg,Bulgarian,bg,"Panagyurishte (Панагюрище)",City,9040128,true
2416,Google,Bulgaria,bg,Bulgarian,bg,"Parvomay (Първомай)",City,9047686,true
2417,Google,Bulgaria,bg,Bulgarian,bg,"Pavlikeni (Павликени)",City,9047687,true
2418,Google,Bulgaria,bg,Bulgarian,bg,"Pazardjik (Пазарджик)",City,9040107,true
2419,Google,Bulgaria,bg,Bulgarian,bg,"Pernik (Перник)",City,1001470,true
2420,Google,Bulgaria,bg,Bulgarian,bg,"Peshtera (Пещера)",City,9047688,true
2421,Google,Bulgaria,bg,Bulgarian,bg,"Petrich (Петрич)",City,1001471,true
2422,Google,Bulgaria,bg,Bulgarian,bg,Pleven (Плевен),City,9040134,true
2423,Google,Bulgaria,bg,Bulgarian,bg,"Pleven (Плевен)",City,1001457,true
2424,Google,Bulgaria,bg,Bulgarian,bg,Plovdiv (Пловдив),City,9040109,true
2425,Google,Bulgaria,bg,Bulgarian,bg,"Pomorie (Поморие)",City,1001450,true
2426,Google,Bulgaria,bg,Bulgarian,bg,"Popovo (Попово)",City,9040138,true
2427,Google,Bulgaria,bg,Bulgarian,bg,"Provadia (Провадия)",City,9047689,true
2428,Google,Bulgaria,bg,Bulgarian,bg,"Radnevo (Раднево)",City,9047690,true
2429,Google,Bulgaria,bg,Bulgarian,bg,"Razgrad (Разград)",City,1001466,true
2430,Google,Bulgaria,bg,Bulgarian,bg,"Razlog (Разлог)",City,9047691,true
2431,Google,Bulgaria,bg,Bulgarian,bg,Ruse (Русе),City,9040137,true
2432,Google,Bulgaria,bg,Bulgarian,bg,"Ruse (Русе)",City,1001467,true
2433,Google,Bulgaria,bg,Bulgarian,bg,"Samokov (Самоков)",City,9040102,true
2434,Google,Bulgaria,bg,Bulgarian,bg,"Sandanski (Сандански)",City,9040099,true
2435,Google,Bulgaria,bg,Bulgarian,bg,"Shumen (Шумен)",City,9040117,true
2436,Google,Bulgaria,bg,Bulgarian,bg,"Silistra (Силистра)",City,1001468,true
2437,Google,Bulgaria,bg,Bulgarian,bg,"Sliven (Сливен)",City,1001451,true
2438,Google,Bulgaria,bg,Bulgarian,bg,"Smolyan (Смолян)",City,1001465,true
2439,Google,Bulgaria,bg,Bulgarian,bg,Sofia (София-град),City,9040130,true
2440,Google,Bulgaria,bg,Bulgarian,bg,"Stara Zagora (Стара Загора)",City,1001476,true
2441,Google,Bulgaria,bg,Bulgarian,bg,"Sunny Beach (Слънчев бряг)",City,9047692,true
2442,Google,Bulgaria,bg,Bulgarian,bg,"Svilengrad (Свиленград)",City,1001477,true
2443,Google,Bulgaria,bg,Bulgarian,bg,"Svishtov (Свищов)",City,9040136,true
2444,Google,Bulgaria,bg,Bulgarian,bg,Targovishte (Търговище),City,9040139,true
